hash,p,nP,nQ,n,max_total_degree,method,n_enum,verdict,count,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,wall_s,note
e600e2184b1d,3,8,8,16,159,exhaustive-bilinear,2187,NONEMPTY,102,False,6,96,8,0,0,0,8,0.6,
405a469bffcf,2,6,6,12,152,exhaustive-bilinear,32,NONEMPTY,40,False,5,35,8,0,0,0,8,0.01,
405a469bffcf,3,6,6,12,152,exhaustive-bilinear,243,NONEMPTY,198,False,66,132,8,0,0,0,8,0.06,
21bd08557217,2,8,7,15,145,exhaustive-bilinear,64,NONEMPTY,32,False,0,32,8,0,0,1,7,0.01,
21bd08557217,3,8,7,15,145,exhaustive-bilinear,729,NONEMPTY,4374,False,0,4374,8,0,0,1,7,0.12,
247c36e19dc3,2,7,6,13,153,exhaustive-bilinear,32,NONEMPTY,12,False,2,10,8,0,0,1,7,0.01,
247c36e19dc3,3,7,6,13,153,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.0,
4f8445c930b0,2,7,5,12,139,exhaustive-bilinear,16,NONEMPTY,16,False,1,15,8,0,0,0,8,6.32,
4f8445c930b0,3,7,5,12,139,exhaustive-bilinear,81,NONEMPTY,18,False,2,16,8,0,0,0,8,0.02,
3aa3f2d1cd2f,2,7,5,12,154,exhaustive-bilinear,16,NONEMPTY,64,False,4,60,8,0,0,0,8,0.01,
3aa3f2d1cd2f,3,7,5,12,154,exhaustive-bilinear,81,NONEMPTY,2,False,0,2,2,0,0,0,2,0.01,
efcc92f30ccf,2,7,8,15,160,exhaustive-bilinear,64,NONEMPTY,32,False,2,30,8,0,0,0,8,0.02,
efcc92f30ccf,3,7,8,15,160,exhaustive-bilinear,729,NONEMPTY,6,False,2,4,4,0,0,0,4,0.1,
1d1a31e7ba9c,2,8,7,15,159,exhaustive-bilinear,64,NONEMPTY,8,False,4,4,4,0,0,0,4,0.02,
1d1a31e7ba9c,3,8,7,15,159,exhaustive-bilinear,729,NONEMPTY,270,False,18,252,8,0,0,0,8,0.28,
6b14a35869e1,2,5,6,11,131,exhaustive-bilinear,16,NONEMPTY,8,False,4,4,4,0,0,0,4,0.02,
6b14a35869e1,3,5,6,11,131,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
38e6cb1f6a94,2,8,7,15,143,exhaustive-bilinear,64,NONEMPTY,8,False,0,8,8,0,0,0,8,0.01,
38e6cb1f6a94,3,8,7,15,143,exhaustive-bilinear,729,EMPTY,0,False,,,,,,,,0.03,
ba6b62170c52,2,6,6,12,153,exhaustive-bilinear,32,NONEMPTY,4,False,0,4,4,0,0,0,4,0.0,
ba6b62170c52,3,6,6,12,153,exhaustive-bilinear,243,NONEMPTY,1566,False,18,1548,8,0,0,0,8,1.7,
6b2a44111074,2,5,8,13,144,exhaustive-bilinear,16,NONEMPTY,8,False,2,6,6,0,0,0,6,0.01,
6b2a44111074,3,5,8,13,144,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
62fc1a178b8f,2,7,7,14,160,exhaustive-bilinear,64,NONEMPTY,32,False,1,31,8,0,0,0,8,0.02,
62fc1a178b8f,3,7,7,14,160,exhaustive-bilinear,729,EMPTY,0,False,,,,,,,,0.02,
c44d9d649a23,2,6,5,11,159,exhaustive-bilinear,16,NONEMPTY,16,False,1,15,8,0,0,0,8,0.01,
