hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
f64fa7fb866c,7,F1,4,5,9,exhaustive-bilinear,343,NONEMPTY,6,0,0,6,0,0,0,0,0,0,0.014,
2e1b5124b0ba,7,F2,6,7,13,exhaustive-bilinear,16807,EMPTY,0,0,0,0,0,0,0,0,0,0,3.125,
4b7594b08fd9,7,F2,6,4,10,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.012,
34592322797a,7,F2,5,4,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.011,
41f304c9322b,7,F2,4,6,10,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.012,
799d2426ea5b,7,F2,5,7,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.174,
69c6d6a5ac7c,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.024,
674b95f5600c,7,F2,6,7,13,exhaustive-bilinear,16807,EMPTY,0,0,0,0,0,0,0,0,0,0,2.207,
711fdea740ed,7,F2,4,4,8,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.014,
dfd7ee2f3a75,7,F2,5,4,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.003,
9202d3cc017f,7,F2,7,5,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.189,
5a2f3a9cafc3,7,F2,6,5,11,exhaustive-bilinear,2401,NONEMPTY,6,6,0,0,0,6,0,0,0,0,0.122,
c0e80697edcb,7,F2,6,6,12,exhaustive-bilinear,16807,NONEMPTY,42,0,0,8,0,0,0,0,0,0,1.403,
a292ce782e67,7,F2,5,6,11,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.102,
ae92bb9542f7,7,F2,7,5,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.146,
49fb05981ced,7,F2,7,5,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.174,
5e11471f9c3b,7,F2,5,5,10,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.079,
07a68006ecbd,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.011,
deab853e1f17,7,F2,4,5,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.011,
ee90fa38973f,7,F2,5,7,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.212,
e260494e0195,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.026,
587a55d88dbd,7,F2,5,5,10,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.087,
dbe01d0795f1,7,F2,6,4,10,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.012,
72177a24a62f,7,F2,5,6,11,exhaustive-bilinear,2401,NONEMPTY,42,8,0,0,0,8,0,0,0,0,0.121,
803689406feb,7,F2,4,7,11,exhaustive-bilinear,343,NONEMPTY,294,0,0,8,0,0,0,0,0,0,0.015,
bb08274dee59,7,F2,6,7,13,exhaustive-bilinear,16807,EMPTY,0,0,0,0,0,0,0,0,0,0,2.677,
1a325f821000,7,F2,6,4,10,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.012,
09cc523a664c,7,F2,6,7,13,exhaustive-bilinear,16807,EMPTY,0,0,0,0,0,0,0,0,0,0,1.53,
