hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
bc6a9c8a3c88,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.16,
cac50e45dca4,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,156,7,0,1,0,0,7,0,0,0,142.663,
8d3a0baf7058,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.081,
180f8c19bf01,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.066,
b8f29de16107,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.063,
92e88fadfd79,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.048,
8ac64c85e1dd,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.062,
ecef83bfa24d,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.049,
1aa6f6646115,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.071,
7a0222e98017,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.068,
ea54385cd4ac,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.062,
6d5ddce41e52,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.063,
c946eca90b38,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.083,
4b7bb3c02040,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,2028,7,0,1,0,0,7,0,0,0,140.286,
43eeb7021a84,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.058,
70eb6f26be0d,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.086,
17fa168dbb97,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.08,
1a0b3bed006a,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,156,0,0,8,0,0,0,0,0,0,0.033,
a6e10bf5e213,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.041,
97e60bd88e1b,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.053,
c35ac0395426,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.071,
35b87f2cd158,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,156,0,0,8,0,0,0,0,0,0,0.075,
5659b50ff1b9,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.071,
142514c45be0,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.082,
cfcb95272aa9,13,F1,4,5,9,exhaustive-bilinear,2197,NONEMPTY,12,0,0,8,0,0,0,0,0,0,0.075,
