hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
58467d25e12b,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.09,
749d46bdd122,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,110,7,0,1,0,0,7,0,0,0,0.086,
95368e8d2c2f,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.044,
2683cdfebc44,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.026,
491945c221cb,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.027,
de24a61aad80,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.024,
c4e9de8a1fb3,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.021,
4fb70396ea1a,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.044,
a1e706ded209,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.058,
2a2fa717e308,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.039,
bd24bbabed2b,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.025,
8f5573dadc19,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.031,
5c13edf60888,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.039,
bc64e2c78816,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,1210,7,0,1,0,0,7,0,0,0,0.08,
07e17807d6b0,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.066,
28810fe3333c,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.071,
696094bbf0aa,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,10,0,0,8,0,0,0,0,0,0,0.048,
e7030ae24f4c,11,F1,4,5,9,exhaustive-bilinear,1331,NONEMPTY,110,0,0,8,0,0,0,0,0,0,0.036,
