hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
6779fa13c73b,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,2.747,
256160fa7869,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,18,6,0,2,2,4,0,0,0,0,9.351,
ef5fccd7e68e,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.686,
f77771acc849,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.797,
2b796756e70e,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.191,
259628a82525,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.396,
dc4677e49b11,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.598,
657d5fa4674b,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.881,
f7623fcff33a,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.249,
252ffcaec0dc,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,18,6,0,2,4,2,0,0,0,0,17.685,
3701df70a4c6,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.811,
98a344a40c46,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.684,
dd6a5719ffd1,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.29,
c4e04f0b8458,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,54,6,0,2,2,4,0,0,0,0,12.043,
8f226eff8ce2,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.898,
e6f1c8b0e432,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.978,
834c9fbb2cb6,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.267,
d97ba410c993,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,18,6,0,2,2,4,0,0,0,0,7.237,
