hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
dffcf4fa9919,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.166,
e3039380da31,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.031,
e6f1c8b0e432,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.438,
e7ba72847d72,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,18,6,0,2,4,2,0,0,0,0,1.708,
e8aa3202a3c4,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.226,
ef5fccd7e68e,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.176,
f7623fcff33a,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.032,
f77771acc849,3,F1,4,5,9,exhaustive-bilinear,27,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.424,
000839fee8e3,3,F2,7,6,13,exhaustive-bilinear,243,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
055be573bd91,3,F2,5,5,10,exhaustive-bilinear,81,NONEMPTY,6,4,0,2,0,4,0,0,0,0,0.009,
103bcf85656e,3,F2,6,7,13,exhaustive-bilinear,243,NONEMPTY,90,6,0,2,1,0,5,0,0,0,0.039,
13fdf0f622d5,3,F2,4,4,8,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
184a36732588,3,F2,5,4,9,exhaustive-bilinear,27,NONEMPTY,6,4,0,2,4,0,0,0,0,0,0.164,
1c4afff29879,3,F2,5,4,9,exhaustive-bilinear,27,NONEMPTY,6,4,0,2,4,0,0,0,0,0,0.01,
3c6b75a0f9da,3,F2,5,6,11,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
3ee4c514dba8,3,F2,7,6,13,exhaustive-bilinear,243,NONEMPTY,18,6,0,2,0,6,0,2,0,0,0.023,
4d5711658655,3,F2,7,5,12,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
4ed4abb6f5df,3,F2,4,4,8,exhaustive-bilinear,27,NONEMPTY,18,2,0,4,0,2,0,0,0,0,0.002,
50d74a6392e0,3,F2,6,6,12,exhaustive-bilinear,243,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.015,
5c3431006361,3,F2,7,6,13,exhaustive-bilinear,243,NONEMPTY,6,4,0,2,0,4,0,0,0,0,0.043,
631974e51028,3,F2,5,5,10,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.005,
63a5b7380560,3,F2,6,6,12,exhaustive-bilinear,243,NONEMPTY,6,0,0,4,0,0,0,0,0,0,0.009,
69a190dc6210,3,F2,5,6,11,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.005,
7d8170ff7fbe,3,F2,7,4,11,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
80774e757acb,3,F2,5,5,10,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.005,
88aec5f30ec4,3,F2,6,6,12,exhaustive-bilinear,243,EMPTY,0,0,0,0,0,0,0,0,0,0,0.008,
8967813e9dd0,3,F2,7,5,12,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
94f4a927090a,3,F2,5,6,11,exhaustive-bilinear,81,NONEMPTY,6,2,0,2,2,0,0,0,0,0,0.064,
9785e8a010dd,3,F2,7,7,14,exhaustive-bilinear,729,EMPTY,0,0,0,0,0,0,0,0,0,0,0.049,
9fad1aac9556,3,F2,4,4,8,exhaustive-bilinear,27,NONEMPTY,6,4,0,2,2,0,2,0,0,0,0.008,
a57c57bfecc9,3,F2,5,7,12,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.006,
aa9029251b81,3,F2,7,4,11,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
ac178c284252,3,F2,5,5,10,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.005,
add129cbe0b0,3,F2,6,4,10,exhaustive-bilinear,27,NONEMPTY,18,0,0,8,0,0,0,0,0,0,0.002,
b37aca2806c4,3,F2,4,7,11,exhaustive-bilinear,27,NONEMPTY,2,0,0,2,0,0,0,0,0,0,0.006,
b83d1261ece4,3,F2,5,4,9,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
b92921b248aa,3,F2,6,4,10,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.005,
bbf8a1758163,3,F2,6,7,13,exhaustive-bilinear,243,EMPTY,0,0,0,0,0,0,0,0,0,0,0.014,
c1b9db57eaec,3,F2,7,7,14,exhaustive-bilinear,729,EMPTY,0,0,0,0,0,0,0,0,0,0,0.057,
c764f008a1a1,3,F2,6,6,12,exhaustive-bilinear,243,NONEMPTY,22,4,0,4,2,2,0,0,0,0,0.071,
c7b43e743d8a,3,F2,6,5,11,exhaustive-bilinear,81,NONEMPTY,6,4,0,2,4,0,0,0,0,0,0.015,
cf8c7ed97c0c,3,F2,7,4,11,exhaustive-bilinear,27,NONEMPTY,18,6,0,0,1,5,0,1,1,0,0.009,
d63110517b1c,3,F2,5,7,12,exhaustive-bilinear,81,EMPTY,0,0,0,0,0,0,0,0,0,0,0.006,
da1b7d3a7bae,3,F2,7,7,14,exhaustive-bilinear,729,NONEMPTY,6,6,0,0,0,6,0,0,0,0,0.075,
e2702baf6aa7,3,F2,7,7,14,exhaustive-bilinear,729,EMPTY,0,0,0,0,0,0,0,0,0,0,0.05,
f6124df90aa0,3,F2,6,7,13,exhaustive-bilinear,243,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
fdbe9b012f66,3,F2,7,7,14,exhaustive-bilinear,729,NONEMPTY,54,8,0,0,0,8,0,0,0,0,0.042,
fe83eaadbfe7,3,F2,7,5,12,exhaustive-bilinear,81,NONEMPTY,6,4,0,2,0,4,0,0,0,0,0.015,
e43c4718fea8,3,F3,4,5,9,exhaustive-bilinear,27,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
08dad216f66c,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,20,6,0,2,0,0,6,0,0,0,0.004,
10836050b6cb,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
18823ce1c73c,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
3460150a303f,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.003,
3b98528156a2,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
3d1b2e488e38,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
4156a949507a,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
43c03e2b8c89,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,100,6,0,2,0,0,6,0,0,0,0.005,
465ef6e09193,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
4d2a10371a04,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,20,6,0,2,0,0,6,0,0,0,0.004,
4d7fe0d69c7b,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
5013abbf0643,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
514847a7dc5e,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
54feacdde85c,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
5acb1ad51d60,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,20,4,0,4,0,0,4,0,0,0,0.003,
5e81c8e60d23,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
64e98d00aedd,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,20,6,0,2,0,0,6,0,0,0,0.005,
6a6eab90b4c2,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
7075ce533600,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
71a226276f0d,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
757902e9b533,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
76642d494458,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
786a62b8b566,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
7d613da6d71d,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
80f9feccc1c0,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
8e1851219252,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
a74cf191754c,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
a78e9d1bd8d0,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
a95eab114ef2,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
aa95f9fc067d,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
acb7c142125e,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.003,
ad8cdc9b222b,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
ba234df4fadd,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
bc7dd0626cdc,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
bfe5593170a8,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
c01f88537d4e,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
c66bb3dd2511,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
c9d3601adaee,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
d1c7c58bebc3,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.003,
d989c0da528f,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
de496852f114,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
e18ae5604010,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,20,4,0,4,0,0,4,0,0,0,0.004,
e243d8314ab2,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
eeb784d4229a,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
f58e5b6a2921,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
f5f0ffd22a60,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
f738706638ec,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
f8a0dc660ea1,5,F1,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.002,
034d41a8299b,5,F2,4,4,8,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
07ccf125df55,5,F2,5,5,10,exhaustive-bilinear,625,NONEMPTY,4,4,0,0,0,4,0,0,0,0,0.032,
0c39fd58cc38,5,F2,4,7,11,exhaustive-bilinear,125,NONEMPTY,100,0,0,8,0,0,0,0,0,0,0.012,
15f6d907c693,5,F2,5,7,12,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.032,
1af6104190e1,5,F2,6,7,13,exhaustive-bilinear,3125,NONEMPTY,4,4,0,0,0,4,0,0,0,0,0.31,
2e39f5220d3e,5,F2,7,7,14,exhaustive-bilinear,15625,EMPTY,0,0,0,0,0,0,0,0,0,0,2.007,
3b10ef607425,5,F2,5,7,12,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.037,
3d0e275bd4c4,5,F2,4,6,10,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
3eedf5ffb5a8,5,F2,6,5,11,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.017,
4592ed40ca1a,5,F2,4,5,9,exhaustive-bilinear,125,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.011,
4954a5b16681,5,F2,6,5,11,exhaustive-bilinear,625,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.036,
558bc720d4a5,5,F2,5,5,10,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.013,
5ba32a815e20,5,F2,4,7,11,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
5cb87c782821,5,F2,4,6,10,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
5f518288092e,5,F2,6,4,10,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
6c5a7dd8e3e9,5,F2,6,5,11,exhaustive-bilinear,625,NONEMPTY,36,6,0,2,6,0,0,0,0,0,0.062,
6ff8cb2b27c6,5,F2,7,5,12,exhaustive-bilinear,625,NONEMPTY,20,8,0,0,0,8,0,0,0,0,0.051,
7c3d2c44edcd,5,F2,5,7,12,exhaustive-bilinear,625,NONEMPTY,4,0,0,4,0,0,0,0,0,0,0.022,
8212568d8941,5,F2,4,7,11,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.011,
8644d0d2ff49,5,F2,7,7,14,exhaustive-bilinear,15625,NONEMPTY,20,4,0,4,0,0,4,0,0,0,3.257,
8ca5ce59ff9f,5,F2,7,6,13,exhaustive-bilinear,3125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.291,
9cf6132e3dbc,5,F2,4,5,9,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.009,
a3e01a85678a,5,F2,5,6,11,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.025,
a59629ec62f3,5,F2,5,4,9,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.001,
a8c16dbfcb13,5,F2,7,6,13,exhaustive-bilinear,3125,NONEMPTY,20,4,0,4,0,0,4,0,0,0,0.291,
aae355682649,5,F2,6,6,12,exhaustive-bilinear,3125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.162,
ac8b27964e9f,5,F2,7,5,12,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.043,
bd88354f9295,5,F2,4,6,10,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
c8e9bc64efef,5,F2,7,7,14,exhaustive-bilinear,15625,NONEMPTY,20,4,0,4,0,4,0,0,0,0,2.053,
cd0fe84a7abd,5,F2,6,4,10,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
cf68cf4c1538,5,F2,7,5,12,exhaustive-bilinear,625,EMPTY,0,0,0,0,0,0,0,0,0,0,0.055,
cffe2ca97024,5,F2,4,7,11,exhaustive-bilinear,125,EMPTY,0,0,0,0,0,0,0,0,0,0,0.018,
