hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
376ebcbe6f85,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.674,
177283154864,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,272,7,0,1,0,0,7,0,0,0,142.677,
5117aa220e6a,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.211,
6ea6b99ecf9b,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.246,
3ee44a89c2a2,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.164,
60bf9e7c3055,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.129,
162625e34709,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.17,
3831f7d00305,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.177,
7113f11e78e0,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.186,
799b7c968b97,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.21,
a4b44f2ae805,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.195,
6ad54376483f,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.185,
5fb91e7067b8,17,F1,4,5,9,exhaustive-bilinear,4913,NONEMPTY,16,0,0,8,0,0,0,0,0,0,0.204,
