family,hash,poly,tdeg,degx,degy,nterms,u_modp,u_q,t_modp,t_q,sy,sy_nodes,sy_leaves,t_sy,fib,t_fib,agree,crux,label
F1,8a8a3da32822,x^2*y^2 + x*y^3 - 3*x^2*y + y^3,4,2,3,4,FAIL,FAIL,0.006,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F1 top=x*y^2*(x+y) + 2 low terms
F1,6a572fa4833a,x^5 + x^4*y + 2*x^3*y^2 + 2*x^2*y^3 + x*y^4 + y^5 + x^2*y^2 + 3*x^2,5,5,5,8,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F1 top=(x^2+y^2)^2*(x+y) + 2 low terms
F1,bac108c30ce5,x^6 - 1*x^4*y^2 - 1*x^2*y^4 + y^6 + x^2*y^3 - 2*x^4 + 2*x^2*y - 3*x*y,6,6,6,8,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F1 top=(x^2+y^2)*(x+y)^2*(x-y)^2 + 4 low terms
F1b,45863d221afb,2*x^4*y^3 + x^3*y^3 + x,7,4,3,3,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^4*y^3 (+extra), top form has factors x and y"
F1b,fcabba319815,2*x^4*y^4 + 2*x^3*y^2 - 1*x,8,4,4,3,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^4*y^4 (+extra), top form has factors x and y"
F1b,b7420192a326,-1*x^2*y^3 + x,5,2,3,2,PASS,PASS,0.006,0.006,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.161,CORROBORATED,True,"F1b c1*x + c2*x^2*y^3 (+extra), top form has factors x and y"
F1b,080561a24d86,-1*x^5*y^3 - 1*x^2*y^3 + 3*x,8,5,3,3,FAIL,FAIL,0.007,0.008,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^5*y^3 (+extra), top form has factors x and y"
F1b,e611d15cf96f,2*x^4*y^3 + x^3*y^3 + 3*x,7,4,3,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^3*y^3 (+extra), top form has factors x and y"
F1b,c5b1d84c7918,2*x^3*y^3 - 3*x^2*y^4 + 2*x,6,3,4,3,FAIL,FAIL,0.007,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^2*y^4 (+extra), top form has factors x and y"
F1b,55d6ec0e67cf,x^2*y^4 - 1*x^4*y - 1*x,6,4,4,3,FAIL,FAIL,0.007,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^2*y^4 (+extra), top form has factors x and y"
F1b,83742d54ce4f,2*x^4*y + 2*x^2*y^2 + x,5,4,2,3,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^4*y^1 (+extra), top form has factors x and y"
F1b,8dc7c96d8597,2*x^5*y + 2*x^4*y^2 + 3*x,6,5,2,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^5*y^1 (+extra), top form has factors x and y"
F1b,8944ddd9a60f,-3*x^3*y + x,4,3,1,2,PASS,PASS,0.006,0.006,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.142,CORROBORATED,True,"F1b c1*x + c2*x^3*y^1 (+extra), top form has factors x and y"
F1b,a046c9a5a398,-2*x^2*y^3 - 1*x,5,2,3,2,PASS,PASS,0.007,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.173,CORROBORATED,True,"F1b c1*x + c2*x^2*y^3 (+extra), top form has factors x and y"
F1b,4504f00935de,2*x^5*y^2 + 3*x,7,5,2,2,PASS,PASS,0.009,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.174,CORROBORATED,True,"F1b c1*x + c2*x^5*y^2 (+extra), top form has factors x and y"
F1b,13ac30c6e70c,x^5*y^3 + 3*x,8,5,3,2,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.166,CORROBORATED,True,"F1b c1*x + c2*x^5*y^3 (+extra), top form has factors x and y"
F1b,ea597f11ee80,x^4*y^2 + 2*x,6,4,2,2,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.157,CORROBORATED,True,"F1b c1*x + c2*x^4*y^2 (+extra), top form has factors x and y"
F1b,2dad28604158,-1*x^3*y^2 + 2*x^2*y^2 + 3*x,5,3,2,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^2*y^2 (+extra), top form has factors x and y"
F1b,1c8794ef0593,-3*x^5*y^2 + x^4*y + 3*x,7,5,2,3,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^5*y^2 (+extra), top form has factors x and y"
F1b,20f3fd62c6b2,2*x^5*y + 3*x,6,5,1,2,PASS,PASS,0.006,0.006,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.147,CORROBORATED,True,"F1b c1*x + c2*x^5*y^1 (+extra), top form has factors x and y"
F1b,ddce9e76071e,-3*x^5*y + 2*x^2*y + 2*x,6,5,1,3,FAIL,FAIL,0.007,0.009,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,"F1b c1*x + c2*x^5*y^1 (+extra), top form has factors x and y"
F1b,c2005a8935aa,-1*x^5*y^4 - 1*x^4*y^3 - 1*x,9,5,4,3,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.155,CORROBORATED,True,"F1b c1*x + c2*x^5*y^4 (+extra), top form has factors x and y"
F1b,223f71c4db9d,-3*x^4*y^4 + 2*x,8,4,4,2,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.155,CORROBORATED,True,"F1b c1*x + c2*x^4*y^4 (+extra), top form has factors x and y"
F3,a22d19d84467,-1*x^6 - 2*x^5 + x^4*y - 1*x^4 + x,6,6,1,5,PASS,PASS,0.007,0.007,NON_COORDINATE,4,2,0.0,NON_COORDINATE_BY_R,0.15,CORROBORATED,True,"F3 u+u^4*w, w=y+f(x) deg f=2"
F3,b1b7f369fbd2,y^5 + 2*x^2*y + x,5,2,5,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F3 x + y^5 + correction
F3,10a28823f719,-3*y^2 + x + 4*y - 1,2,1,2,4,PASS,PASS,0.007,0.007,COORDINATE,3,0,0.0,INCONCLUSIVE,0.138,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,ef21c22c554a,x - 1*y + 3,1,1,1,3,PASS,PASS,0.009,0.008,COORDINATE,2,0,0.0,INCONCLUSIVE,0.141,CONSISTENT,False,F3 triangular x + f(y) + g(y)
