hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
dff7b6ad99e8,"G1 h0=2 c=2 a=2 n=5 m=2 t=[(0, Fraction(1, 1))]",7,2,18,v-quadratic|S3_positive_genus,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
0eaea989d80a,"G1 h0=-1 c=-2 a=0 n=5 m=2 t=[(0, Fraction(3, 1)), (1, Fraction(-3, 1))]",7,2,9,v-quadratic|S3_positive_genus,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
a1f03a53544d,"G1 h0=2 c=1 a=2 n=5 m=2 t=[(0, Fraction(-2, 1)), (1, Fraction(-1, 1)), (2, Fraction(1, 1))]",9,2,24,v-quadratic|S3_positive_genus,True,0,6,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
b3e20b4cd68c,"G1 h0=2 c=-2 a=1 n=5 m=2 t=[(1, Fraction(-1, 1)), (2, Fraction(3, 1)), (3, Fraction(-3, 1))]",11,2,26,v-quadratic|S3_positive_genus,True,0,6,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
ad4e683f969f,G1 h0=-1 c=-1 a=0 n=6 m=2 t=[],8,2,2,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
cd764775d247,"G1 h0=-3 c=3 a=1 n=6 m=2 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1))]",8,2,24,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
4d828474bfe5,"G1 h0=-1 c=1 a=0 n=6 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(-1, 1)), (2, Fraction(2, 1))]",10,2,13,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,7,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
284e83fc0c40,"G1 h0=2 c=-2 a=1 n=6 m=2 t=[(0, Fraction(3, 1)), (1, Fraction(3, 1)), (2, Fraction(-2, 1)), (3, Fraction(1, 1))]",12,2,30,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,7,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
981e0b0bb26c,"G1 h0=2 c=3 a=0 n=7 m=2 t=[(0, Fraction(1, 1))]",9,2,5,v-quadratic|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
27f4531120ff,"G1 h0=2 c=-1 a=-1 n=7 m=2 t=[(0, Fraction(1, 1)), (1, Fraction(3, 1))]",9,2,27,v-quadratic|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
