hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
7f37839aa68b,"G1 h0=-3 c=3 a=-1 n=5 m=3 t=[(1, Fraction(-1, 1))]",8,3,26,S1_v_cubic|S3_positive_genus,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
ecbdb9b88498,"G1 h0=1 c=-2 a=0 n=5 m=3 t=[(0, Fraction(-2, 1)), (1, Fraction(3, 1)), (2, Fraction(1, 1))]",11,3,20,S1_v_cubic|S3_positive_genus,True,0,8,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
587bdfb02da7,"G1 h0=-1 c=1 a=0 n=5 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(3, 1)), (2, Fraction(-2, 1)), (3, Fraction(-2, 1))]",14,3,26,S1_v_cubic|S3_positive_genus,True,0,9,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
0330173bb57b,"G1 h0=2 c=3 a=0 n=6 m=3 t=[(0, Fraction(3, 1))]",9,3,6,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
a45dc650e539,"G1 h0=2 c=2 a=0 n=6 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(1, 1))]",9,3,13,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
0948ec9eb06f,"G1 h0=-1 c=3 a=1 n=6 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(-1, 1)), (2, Fraction(-2, 1))]",12,3,40,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,9,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
106e62f0bd96,"G1 h0=-3 c=3 a=1 n=6 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(1, 1)), (3, Fraction(-1, 1))]",15,3,46,S1_v_cubic|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,10,12,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
dd3a8817d75c,"G1 h0=-3 c=-2 a=0 n=7 m=3 t=[(0, Fraction(-3, 1))]",10,3,6,S1_v_cubic|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
1f738a65df9d,"G1 h0=-1 c=2 a=2 n=7 m=3 t=[(1, Fraction(-1, 1))]",10,3,34,S1_v_cubic|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
275ecb5da76a,"G1 h0=1 c=2 a=2 n=7 m=3 t=[(0, Fraction(-3, 1)), (2, Fraction(-2, 1))]",13,3,44,S1_v_cubic|S3_positive_genus,True,0,10,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
353c6225a956,"G1 h0=2 c=-2 a=-1 n=7 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (3, Fraction(-3, 1))]",16,3,49,S1_v_cubic|S3_positive_genus,True,0,11,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
e988b814c8c4,"G1 h0=-1 c=1 a=0 n=8 m=3 t=[(0, Fraction(2, 1))]",11,3,6,S1_v_cubic|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
9a12b04908a0,"G1 h0=-1 c=-1 a=0 n=8 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(2, 1))]",11,3,13,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
1d239c9ed088,"G1 h0=-3 c=2 a=1 n=8 m=3 t=[(0, Fraction(1, 1)), (1, Fraction(-2, 1)), (2, Fraction(-2, 1))]",14,3,47,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,11,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
ce21412d57f3,"G1 h0=-3 c=2 a=1 n=8 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(2, 1)), (2, Fraction(-3, 1)), (3, Fraction(-3, 1))]",17,3,53,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,12,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
977111c265bd,"G1 h0=-1 c=1 a=0 n=9 m=3 t=[(0, Fraction(-1, 1))]",12,3,6,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
06626a6141b7,"G1 h0=1 c=-1 a=-1 n=9 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1))]",12,3,46,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
7af2ef93cdcd,"G1 h0=2 c=1 a=1 n=9 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(3, 1)), (2, Fraction(1, 1))]",15,3,50,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,12,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
01b9a2cdaac1,"G1 h0=2 c=2 a=1 n=9 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(-2, 1)), (2, Fraction(3, 1)), (3, Fraction(2, 1))]",18,3,58,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,13,15,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
0d78a05cc620,"G1 h0=1 c=3 a=0 n=10 m=3 t=[(0, Fraction(2, 1))]",13,3,6,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
2717a09d7796,"G1 h0=-1 c=3 a=2 n=10 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(2, 1))]",13,3,50,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
3a6e56585a26,"G1 h0=2 c=1 a=-1 n=10 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1)), (2, Fraction(1, 1))]",16,3,56,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,13,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
51cfedfb0773,"G1 h0=-1 c=2 a=0 n=10 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(3, 1)), (2, Fraction(2, 1)), (3, Fraction(1, 1))]",19,3,27,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,14,16,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
fbdc0f70154a,"G1 h0=1 c=2 a=-1 n=11 m=3 t=[(0, Fraction(-3, 1))]",14,3,48,S1_v_cubic|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
020642fffc09,"G1 h0=2 c=3 a=0 n=11 m=3 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1))]",14,3,13,S1_v_cubic|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
d3584885a1c7,"G1 h0=2 c=-2 a=-1 n=11 m=3 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1)), (2, Fraction(-1, 1))]",17,3,59,S1_v_cubic|S3_positive_genus,True,0,14,15,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
f496b882aa1b,"G1 h0=-3 c=1 a=0 n=11 m=3 t=[(0, Fraction(-1, 1)), (1, Fraction(2, 1)), (2, Fraction(3, 1)), (3, Fraction(3, 1))]",20,3,27,S1_v_cubic|S3_positive_genus,True,0,15,17,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,5,iii,0,nonzero holomorphic 1-form on a compact curve of genus 5,NONVANISHING,,,,,
c136b147d17d,"G1 h0=2 c=2 a=0 n=12 m=3 t=[(0, Fraction(2, 1))]",15,3,6,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,14,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
ad4fac05626d,"G1 h0=-1 c=1 a=0 n=12 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(-1, 1))]",15,3,13,S1_v_cubic|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,14,14,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,5,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
737233833781,"G1 h0=1 c=-2 a=-1 n=12 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(3, 1)), (2, Fraction(-3, 1))]",18,3,64,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,15,16,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
1c7e62a96c58,"G1 h0=1 c=2 a=0 n=12 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(1, 1)), (2, Fraction(-1, 1)), (3, Fraction(2, 1))]",21,3,27,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,16,18,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
7f2b3c396f45,"G1 h0=-1 c=1 a=2 n=1 m=4 t=[(0, Fraction(2, 1))]",5,4,10,v_power_m4,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,10,lambda_exact,43,True
abc13407cc8e,"G1 h0=-3 c=2 a=-1 n=1 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(1, 1))]",5,4,18,v_power_m4,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,10,lambda_exact,36,True
55a9ae0456b4,"G1 h0=-1 c=3 a=1 n=1 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (2, Fraction(-2, 1))]",9,4,30,v_power_m4,True,0,6,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,18,lambda_exact,151,True
632afa8e6433,"G1 h0=2 c=3 a=1 n=1 m=4 t=[(0, Fraction(-2, 1)), (1, Fraction(-1, 1)), (2, Fraction(3, 1)), (3, Fraction(3, 1))]",13,4,38,v_power_m4,True,0,8,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,26,lambda_exact,283,True
6f8009515697,G1 h0=-1 c=-1 a=0 n=2 m=4 t=[],6,4,2,v_power_m4|S2_ge3_places,True,0,5,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,residues nonzero,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
83bcbbd0e33e,"G1 h0=-1 c=2 a=0 n=2 m=4 t=[(0, Fraction(3, 1)), (1, Fraction(2, 1))]",6,4,18,v_power_m4|S2_ge3_places,True,0,5,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,residues nonzero,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
9907eab03fae,"G1 h0=1 c=-1 a=0 n=2 m=4 t=[(1, Fraction(3, 1)), (2, Fraction(-2, 1))]",10,4,18,v_power_m4|S2_ge3_places,True,0,7,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,residues nonzero,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
0ab66b75b014,"G1 h0=1 c=1 a=1 n=2 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(2, 1)), (2, Fraction(-1, 1)), (3, Fraction(3, 1))]",14,4,45,v_power_m4|S2_ge3_places,True,0,9,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,residues nonzero,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
7b72f1effa40,G1 h0=-1 c=-1 a=1 n=3 m=4 t=[],7,4,5,v_power_m4|S2_ge3_places|S4_ge3_components,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,4,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,14,lambda_exact,20,True
cd46f9341dc7,"G1 h0=2 c=3 a=0 n=3 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-1, 1))]",7,4,18,v_power_m4|S2_ge3_places,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,14,lambda_exact,76,True
3bd161cf7a22,"G1 h0=-1 c=2 a=0 n=3 m=4 t=[(0, Fraction(1, 1)), (1, Fraction(-3, 1)), (2, Fraction(-2, 1))]",11,4,29,v_power_m4|S2_ge3_places,True,0,8,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,22,lambda_exact,144,True
d735085d2c22,"G1 h0=1 c=1 a=-1 n=3 m=4 t=[(0, Fraction(1, 1)), (1, Fraction(2, 1)), (2, Fraction(-1, 1)), (3, Fraction(-1, 1))]",15,4,50,v_power_m4|S2_ge3_places|S4_ge3_components,True,0,10,12,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,4,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,30,lambda_exact,385,True
106f49e2c101,"G1 h0=-1 c=3 a=-1 n=4 m=4 t=[(0, Fraction(-2, 1))]",8,4,25,v_power_m4|S2_ge3_places,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,0,i,residues nonzero,nonzero residues at the 4 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
d8ec9303d095,"G1 h0=1 c=1 a=2 n=4 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-1, 1))]",8,4,35,v_power_m4|S2_ge3_places,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,0,i,residues nonzero,nonzero residues at the 4 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
1c9089909227,"G1 h0=1 c=-1 a=0 n=4 m=4 t=[(1, Fraction(-2, 1)), (2, Fraction(2, 1))]",12,4,18,v_power_m4|S2_ge3_places,True,0,9,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,0,i,residues nonzero,nonzero residues at the 4 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
dd50b3fa0d4e,"G1 h0=-1 c=-1 a=2 n=4 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (2, Fraction(1, 1)), (3, Fraction(1, 1))]",16,4,55,v_power_m4|S2_ge3_places,True,0,11,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,0,i,residues nonzero,nonzero residues at the 4 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
df144b857ca5,"G1 h0=-1 c=-1 a=1 n=5 m=4 t=[(0, Fraction(-3, 1))]",9,4,30,v_power_m4|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
faf56dc2a01c,"G1 h0=1 c=-2 a=1 n=5 m=4 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1))]",9,4,38,v_power_m4|S3_positive_genus,True,0,8,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
5a3c5b32b758,"G1 h0=-1 c=1 a=0 n=5 m=4 t=[(0, Fraction(-3, 1)), (1, Fraction(-3, 1)), (2, Fraction(2, 1))]",13,4,29,v_power_m4|S3_positive_genus,True,0,10,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
ceae129dc67f,"G1 h0=-3 c=2 a=0 n=5 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(2, 1)), (2, Fraction(-1, 1)), (3, Fraction(1, 1))]",17,4,40,v_power_m4|S3_positive_genus,True,0,12,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
76d339843608,G1 h0=-3 c=1 a=1 n=6 m=4 t=[],10,4,8,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
74abcb4ef657,"G1 h0=-3 c=2 a=2 n=6 m=4 t=[(0, Fraction(-2, 1)), (1, Fraction(-2, 1))]",10,4,44,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
1772b42d88bf,"G1 h0=2 c=-2 a=2 n=6 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(-1, 1)), (2, Fraction(-1, 1))]",14,4,54,v_power_m4|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,11,12,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
4fd90e5620b3,"G1 h0=-3 c=-2 a=2 n=6 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (2, Fraction(1, 1)), (3, Fraction(3, 1))]",18,4,65,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,13,15,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
91d5129f7df3,G1 h0=1 c=-2 a=0 n=7 m=4 t=[],11,4,2,v_power_m4|S3_positive_genus,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
643a63c2ed27,"G1 h0=2 c=1 a=2 n=7 m=4 t=[(0, Fraction(3, 1)), (1, Fraction(-2, 1))]",11,4,50,v_power_m4|S3_positive_genus,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
c3182201469a,"G1 h0=-1 c=1 a=0 n=7 m=4 t=[(0, Fraction(3, 1)), (1, Fraction(3, 1)), (2, Fraction(-1, 1))]",15,4,27,v_power_m4|S3_positive_genus,True,0,12,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
f7fe335f39aa,"G1 h0=2 c=2 a=2 n=7 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(2, 1)), (2, Fraction(2, 1)), (3, Fraction(-3, 1))]",19,4,70,v_power_m4|S3_positive_genus,True,0,14,16,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
7d82d7dce06e,"G1 h0=2 c=3 a=-1 n=8 m=4 t=[(0, Fraction(1, 1))]",12,4,45,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
71e14c0ca822,"G1 h0=-1 c=2 a=0 n=8 m=4 t=[(0, Fraction(3, 1)), (1, Fraction(1, 1))]",12,4,18,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,11,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
184c860c5fbc,"G1 h0=-1 c=1 a=-1 n=8 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(2, 1)), (2, Fraction(-1, 1))]",16,4,63,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,13,14,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
90d205d64ed6,"G1 h0=-1 c=3 a=1 n=8 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(-2, 1)), (2, Fraction(-3, 1)), (3, Fraction(1, 1))]",20,4,75,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,15,17,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,5,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
a56134c453cb,"G1 h0=1 c=-1 a=0 n=9 m=4 t=[(0, Fraction(1, 1))]",13,4,7,v_power_m4|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
b8e668560045,"G1 h0=-1 c=1 a=-1 n=9 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(2, 1))]",13,4,59,v_power_m4|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,12,12,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
4042d04b11cd,"G1 h0=1 c=-2 a=0 n=9 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1)), (2, Fraction(-2, 1))]",17,4,29,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,14,15,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
1307c3198af1,"G1 h0=2 c=3 a=0 n=9 m=4 t=[(0, Fraction(-1, 1)), (1, Fraction(-1, 1)), (2, Fraction(3, 1)), (3, Fraction(2, 1))]",21,4,40,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,16,18,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
17ef205ae1be,"G1 h0=1 c=-1 a=1 n=10 m=4 t=[(0, Fraction(1, 1))]",14,4,55,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
1dba6f38ee3b,"G1 h0=-1 c=1 a=2 n=10 m=4 t=[(0, Fraction(2, 1)), (1, Fraction(2, 1))]",14,4,65,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,13,13,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
a45b5df58f56,"G1 h0=-3 c=-1 a=0 n=10 m=4 t=[(0, Fraction(3, 1)), (1, Fraction(1, 1)), (2, Fraction(-3, 1))]",18,4,29,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,15,16,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
9a0f44d12250,"G1 h0=-3 c=-2 a=0 n=10 m=4 t=[(0, Fraction(-1, 1)), (2, Fraction(2, 1)), (3, Fraction(-2, 1))]",22,4,35,v_power_m4|S2_ge3_places|S3_positive_genus,True,0,17,19,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
