input	command	exit_code	wall_time_s	peak_rss_kb
heavy/edgeQ_p100003.ms	msolve -P 1 -f edgeQ_p100003.ms -o edgeQ_p100003.out	0	3.51	40136
wave1/pent_L23.ms	msolve -f wave1/pent_L23.ms -o pent_L23.out	137	1536.73	13910988
