P,deg,unimodular,bezout_U,bezout_V,bezout_residual,baker_interior_pts,genus,n_special_c,reducible_c,all_fibres_irreducible,mate_verdict,mate_top_D,mate_deg_bound_multiple,lambda_support,lambda_verified,certificate_id,rational_mate_found,rational_mate_poles,rational_mate_denominators_tried,source
2*x**4*y**3 + 3*y - 2,7,True,x**5*y/2,-2*x**4*y**2/3 + 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + 3*y - 3,7,True,x**5*y/2,-2*x**4*y**2/3 + 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + x**2*y**2 + y + 1,7,True,30*x**5*y/7 + 13*x**3/7,-40*x**4*y**2/7 - 2*x**2*y + 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert20.json
2*x**4*y**3 + y + 1,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + y + 2,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + y + 3,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + y - 1,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + y - 2,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 + y - 3,7,True,9*x**5*y/2,-6*x**4*y**2 + 1,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y + 1,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y + 2,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y + 3,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y - 1,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y - 2,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 2*y - 3,7,True,9*x**5*y/8,-3*x**4*y**2/2 - 1/2,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y + 1,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y + 2,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y + 3,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y - 1,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y - 2,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - 3*y - 3,7,True,x**5*y/2,-2*x**4*y**2/3 - 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y + 1,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y + 2,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y + 3,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y - 1,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y - 2,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**4*y**3 - y - 3,7,True,9*x**5*y/2,-6*x**4*y**2 - 1,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y + 1,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y + 2,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y + 3,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y - 1,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y - 2,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 2*y - 3,7,True,2*x**6/5,-x**5*y + 1/2,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y + 1,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y + 2,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y + 3,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y - 1,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y - 2,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + 3*y - 3,7,True,8*x**6/45,-4*x**5*y/9 + 1/3,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y + 1,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y + 2,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y + 3,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y - 1,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y - 2,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 + y - 3,7,True,8*x**6/5,-4*x**5*y + 1,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y + 1,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y + 2,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y + 3,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y - 1,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y - 2,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 2*y - 3,7,True,2*x**6/5,-x**5*y - 1/2,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y + 1,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y + 2,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y + 3,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y - 1,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y - 2,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - 3*y - 3,7,True,8*x**6/45,-4*x**5*y/9 - 1/3,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y + 1,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y + 2,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y + 3,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y - 1,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y - 2,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
2*x**5*y**2 - y - 3,7,True,8*x**6/5,-4*x**5*y - 1,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x + 1,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x + 2,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x + 3,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x - 1,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x - 2,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 2*x - 3,7,True,-3*x*y**5/2 + 1/2,3*y**6/5,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x + 1,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x + 2,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x + 3,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x - 1,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x - 2,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + 3*x - 3,7,True,-2*x*y**5/3 + 1/3,4*y**6/15,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x + 1,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x + 2,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x + 3,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x - 1,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x - 2,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 + x - 3,7,True,-6*x*y**5 + 1,12*y**6/5,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x + 1,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x + 2,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x + 3,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x - 1,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x - 2,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 2*x - 3,7,True,-3*x*y**5/2 - 1/2,3*y**6/5,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x + 1,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x + 2,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x + 3,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x - 1,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x - 2,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - 3*x - 3,7,True,-2*x*y**5/3 - 1/3,4*y**6/15,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x + 1,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x + 2,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x + 3,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x - 1,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x - 2,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**2*y**5 - x - 3,7,True,-6*x*y**5 - 1,12*y**6/5,0,2,2,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x + 1,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x + 2,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x + 3,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x - 1,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x - 2,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 2*x - 3,7,True,-9*x**2*y**4/4 + 1/2,27*x*y**5/16,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x + 1,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x + 2,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x + 3,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x - 1,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x - 2,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + 3*x - 3,7,True,-x**2*y**4 + 1/3,3*x*y**5/4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x + 1,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x + 2,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x + 3,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x - 1,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x - 2,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 + x - 3,7,True,-9*x**2*y**4 + 1,27*x*y**5/4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x + 1,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x + 2,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x + 3,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x - 1,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x - 2,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 2*x - 3,7,True,-9*x**2*y**4/4 - 1/2,27*x*y**5/16,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x + 1,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x + 2,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x + 3,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x - 1,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x - 2,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - 3*x - 3,7,True,-x**2*y**4 - 1/3,3*x*y**5/4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x + 1,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x + 2,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x + 3,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x - 1,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x - 2,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**3*y**4 - x - 3,7,True,-9*x**2*y**4 - 1,27*x*y**5/4,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y + 1,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y + 2,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y + 3,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y - 1,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y - 2,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 2*y - 3,7,True,27*x**5*y/16,-9*x**4*y**2/4 + 1/2,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y + 1,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y + 2,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y + 3,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y - 1,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y - 2,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + 3*y - 3,7,True,3*x**5*y/4,-x**4*y**2 + 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + x**2*y**2 + y + 1,7,True,72*x**5*y/11 + 41*x**3/22,-96*x**4*y**2/11 - 2*x**2*y + 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert20.json
3*x**4*y**3 + y + 1,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + y + 2,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + y + 3,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + y - 1,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + y - 2,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 + y - 3,7,True,27*x**5*y/4,-9*x**4*y**2 + 1,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y + 1,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y + 2,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y + 3,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y - 1,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y - 2,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 2*y - 3,7,True,27*x**5*y/16,-9*x**4*y**2/4 - 1/2,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y + 1,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y + 2,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y + 3,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y - 1,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y - 2,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c + 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - 3*y - 3,7,True,3*x**5*y/4,-x**4*y**2 - 1/3,0,1,1,1,['c + 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - y + 1,7,True,27*x**5*y/4,-9*x**4*y**2 - 1,0,1,1,1,['c - 1'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - y + 2,7,True,27*x**5*y/4,-9*x**4*y**2 - 1,0,1,1,1,['c - 2'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - y + 3,7,True,27*x**5*y/4,-9*x**4*y**2 - 1,0,1,1,1,['c - 3'],False,,,,,,,,,,cert2_20.json
3*x**4*y**3 - y - 1,7,True,27*x**5*y/4,-9*x**4*y**2 - 1,0,1,1,1,['c + 1'],False,,,,,,,,,,cert2_20.json
